,40.0,60.0,20.0,80.0
2018-02-19,1679.843959566789,1826.4720090927074,1777.422188813052,1581.7711591756881
2018-02-20,1685.3043564288844,1852.5657883052443,1780.1534445463426,1604.3690348545126
2018-02-21,1666.3337787516284,1766.352173265396,1770.667590980498,1529.7058540778353
2018-02-22,1573.5916880021418,1469.6938456685825,1724.2956849008278,1272.7922061357854
2018-02-23,1606.4184853832485,1556.9200364817243,1740.7092381660702,1348.3323032546532
2018-02-24,1566.7406255134586,1453.2721699652802,1720.8692862377086,1258.5706178041817
2018-02-25,1603.7345271020301,1549.193338482416,1739.3689000141887,1341.6407864998735
2018-02-26,1576.9043032894288,1477.8362561516597,1725.9524119567611,1279.8437404620922
2018-02-27,1583.3158420150269,1493.9879517576505,1729.158993089369,1293.8315191708693
2018-02-28,1592.4299990419504,1517.8932768801947,1733.7151205178313,1314.534138012398
2018-03-01,1580.1449138071318,1485.9340496794177,1727.5731275112275,1286.8566353716326
2018-03-02,1353.3317269225183,1117.1392034854623,1614.1650205162778,967.4709297958117
2018-03-03,1184.8381900643312,967.470929752478,1527.2228857307705,837.8544026261131
2018-03-04,1463.9886889623729,1258.570617804038,1669.494086854491,1089.954127475088
2018-03-05,1623.8272593169181,1609.968943799272,1749.4142174832307,1394.2740046346696
2018-03-06,1643.147610360288,1675.708805251798,1759.0738165639877,1451.206394693739
2018-03-07,1674.0620555075106,1799.9999999997942,1774.531613943554,1558.8457268119894
2018-03-08,1637.0471865052361,1654.0858502503036,1756.0243776373225,1432.4803663575983
2018-03-09,1555.8619316974423,1428.2856857067854,1715.4309394210036,1236.9316876852977
2018-03-10,1444.4166076416439,1229.6340919142463,1659.7078280937942,1064.8943609579203
2018-03-11,1603.7345271020274,1549.1933384824165,1739.3689000141865,1341.6407864998735
2018-03-12,1676.9962208463462,1813.2843130626834,1775.999242911466,1570.3502793962878
2018-03-13,1674.0620555075068,1799.9999999997951,1774.5316139435495,1558.8457268119894
2018-03-14,1674.0620555075097,1799.999999999795,1774.5316139435506,1558.8457268119894
2018-03-15,1641.1506528666148,1668.5322891686437,1758.0767525993253,1444.9913494550751
2018-03-16,1600.9940253805307,1541.4279094392768,1737.9982817657326,1334.9157276772187
2018-03-17,1498.2387822789378,1314.5341380109876,1686.6181116516882,1138.419957660611
2018-03-18,1701.1132235932278,1934.9418595912832,1788.0583487351582,1675.708805252273
2018-03-19,1621.4794231234252,1602.4980499202304,1748.239949669743,1387.8040207464448
2018-03-20,1657.9851225309026,1732.0508075685918,1766.4917706385484,1499.9999999999998
2018-03-21,1671.0396553225212,1786.6169147299915,1773.0198511247227,1547.255634987315
