Hotel,fecha,occ,habs_disp,tp,po,pt,te
CEINS,2018-04-25,0.968553,159,1899.67,1.00472,1.07045,1839.93
CEINS,2018-04-26,1,159,1959.87,1.1343,1.14757,1959.87
CEINS,2018-04-27,0.666667,159,1328.61,1.09218,1.00404,885.737
CEINS,2018-04-28,0.522013,159,1286.3,0.85632,0.982479,671.466
CEINS,2018-04-29,0.459119,159,1247.57,1.15241,0.913231,572.785
CEINS,2018-04-30,0.383648,159,1629.09,1.0563,1.03959,624.996
CEINS,2018-05-01,0.685535,159,1555.6,1.14256,1.02699,1066.41
CEINS,2018-05-02,0.918239,159,1733.73,1.1198,1.04512,1591.98
CEINS,2018-05-03,1,159,1750.71,1.06655,1.04263,1750.71
CEINS,2018-05-04,0.698113,159,1487.36,0.835864,0.96938,1038.35
CEINS,2018-05-05,0.591195,159,1340.48,0.773006,1.05722,792.485
CEINS,2018-05-06,0.710692,159,1232.89,1.04268,0.867808,876.205
CEINS,2018-05-07,0.893082,159,1664.22,1.09985,1.02549,1486.29
CEINS,2018-05-08,0.930818,159,1682.61,1.17055,1.0212,1566.21
CEINS,2018-05-09,0.63522,159,1622,1.0587,1.02089,1030.33
CEINS,2018-05-10,0.465409,159,1626.67,0.899167,1.05756,757.065
CEINS,2018-05-11,0.54717,159,1199.36,1.0637,0.926604,656.256
CEINS,2018-05-12,0.779874,159,1170.24,1.47928,0.947002,912.643
CEINS,2018-05-13,0.779874,159,1204.34,0.999839,0.899326,939.234
CEINS,2018-05-14,0.855346,159,1680.33,0.910718,1.01488,1437.26
CEINS,2018-05-15,0.842767,159,1707.94,0.86562,1.01825,1439.39
CEINS,2018-05-16,0.880503,159,1726.47,0.904379,1.02329,1520.16
CEINS,2018-05-17,0.874214,159,1765.8,0.93639,1.09364,1543.69
CEINS,2018-05-18,0.842767,159,1262.39,1.20121,0.942372,1063.9
CEINS,2018-05-19,0.786164,159,1269.44,1.31907,0.984901,997.989
CEINS,2018-05-20,0.761006,159,1323.07,1.15866,0.936872,1006.87
CEINS,2018-05-21,0.924528,159,1892.29,0.980204,1.12067,1749.47
CEINS,2018-05-22,0.836478,159,1859.63,0.888358,1.07684,1555.54
CEINS,2018-05-23,1,159,1688.32,1,0.992732,1688.32
CEINS,2018-05-24,0.968553,159,1708.85,0.991558,1.05234,1655.11
CEINS,2018-05-25,1,159,1465.91,1.2279,1.07696,1465.91
CEINS,2018-05-26,0.874214,159,1350.19,1.385,1.0536,1180.36
CEINS,2018-05-27,0.54717,159,1295.86,1.04104,0.986431,709.055
CEINS,2018-05-28,0.666667,159,1763.8,0.987362,1.14254,1175.87
CEINS,2018-05-29,0.691824,159,1788.47,0.938958,1.1619,1237.31
CEINS,2018-05-30,0.63522,159,1801.27,0.816059,1.12763,1144.2
CEINS,2018-05-31,0.534591,159,1772.93,0.720085,1.14233,947.792
CEINS,2018-06-01,0.761006,159,1377.85,1.10999,0.993211,1048.56
CEINS,2018-06-02,0.761006,159,1199.77,1.11781,0.926503,913.03
CEINS,2018-06-03,0.672956,159,1400.4,1.22445,1.01916,942.405
CEINS,2018-06-04,0.679245,159,1632.29,0.783986,1.03204,1108.73
CEINS,2018-06-05,0.924528,159,1760.34,0.93349,1.04586,1627.49
CEINS,2018-06-06,1,159,1769.48,1,1.0507,1769.48
CEINS,2018-06-07,1,159,1752.02,1.01543,1.09954,1752.02
CEINS,2018-06-08,0.767296,159,1332.9,0.982704,1.06546,1022.73
CEINS,2018-06-09,0.666667,159,1293.02,1.13688,0.980364,862.015
CEINS,2018-06-10,0.798742,159,1369.42,1.22506,0.97827,1093.81
CEINS,2018-06-11,0.830189,159,1674.07,1.0144,1.0394,1389.79
CEINS,2018-06-12,1,159,1743.52,1.08319,1.05176,1743.52
CEINS,2018-06-13,0.930818,159,1732.56,0.986036,1.04534,1612.7
CEINS,2018-06-14,0.830189,159,1771.48,0.998783,1.08275,1470.66
CEINS,2018-06-15,0.622642,159,1389.54,1.10869,0.996538,865.184
CEINS,2018-06-16,0.528302,159,1344.8,1.20069,1.02826,710.459
CEINS,2018-06-17,0.641509,159,1384.34,1.04277,0.992157,888.069
CEINS,2018-06-18,0.792453,159,1676.71,0.915495,1.03379,1328.71
CEINS,2018-06-19,0.962264,159,1661.01,0.975531,1.00432,1598.33
CEINS,2018-06-20,1,159,1608.67,1.08131,0.957966,1608.67
CEINS,2018-06-21,0.981132,159,1615.66,1.05181,1.013,1585.18
