Fecha,Tipo de Cambio
19/06/2018,20.7160
20/06/2018,20.6968
21/06/2018,20.5531
22/06/2018,20.3937
23/06/2018,20.3689
24/06/2018,20.3689
25/06/2018,20.3689
26/06/2018,20.1264
27/06/2018,20.0908
28/06/2018,19.8754
29/06/2018,20.0553
30/06/2018,19.8633
01/07/2018,19.8633
02/07/2018,19.8633
03/07/2018,19.6912
04/07/2018,20.1453
05/07/2018,19.5974
06/07/2018,19.4284
07/07/2018,19.2513
08/07/2018,19.2513
09/07/2018,19.2513
10/07/2018,19.0719
11/07/2018,19.1563
12/07/2018,19.0559
13/07/2018,18.9632
14/07/2018,18.8241
15/07/2018,18.8241
16/07/2018,18.8241
17/07/2018,18.8854
18/07/2018,18.8360
19/07/2018,18.8763
20/07/2018,18.9100
21/07/2018,19.0790
22/07/2018,19.0790
23/07/2018,19.0790
24/07/2018,19.0694
25/07/2018,19.0761
26/07/2018,18.8506
27/07/2018,18.7709
28/07/2018,18.6234
29/07/2018,18.6234
30/07/2018,18.6234
31/07/2018,18.5515
01/08/2018,18.5413
02/08/2018,18.6457
03/08/2018,18.5899
04/08/2018,18.6349
05/08/2018,18.6349
06/08/2018,18.6349
07/08/2018,18.5725
08/08/2018,18.5433
09/08/2018,18.4631
10/08/2018,18.4542
11/08/2018,18.6511
12/08/2018,18.6511
13/08/2018,18.6511
