"Hotel","fecha","occ","habs_disp","tp","po","pt","te"
"CEINS","2017-11-02",0.421384,159,1517.01,0.693391,1.1265,639.243
"CEINS","2017-11-03",0.761006,159,1111.24,1.08693,0.896222,845.657
"CEINS","2017-11-04",0.748428,159,1047.71,1.32347,0.897033,784.132
"CEINS","2017-11-05",0.792453,159,1168.57,1.25009,0.876206,926.04
"CEINS","2017-11-06",1,159,1654,1.07344,1.01506,1654
"CEINS","2017-11-07",1,159,1639.91,1.00219,0.954917,1639.91
"CEINS","2017-11-08",1,159,1639.07,1.00146,0.938844,1639.07
"CEINS","2017-11-09",1,159,1643.29,1.01327,0.968889,1643.29
"CEINS","2017-11-10",0.867925,159,1111.51,1.10933,0.843496,964.705
"CEINS","2017-11-11",0.874214,159,1065.09,1.37749,0.856248,931.12
"CEINS","2017-11-12",0.798742,159,1200.82,1.23035,0.887104,959.142
"CEINS","2017-11-13",1,159,1516.53,1.11798,0.76264,1516.53
"CEINS","2017-11-14",1,159,1674.52,1.00073,0.924498,1674.52
"CEINS","2017-11-15",1,159,1545.34,1.00073,0.835389,1545.34
"CEINS","2017-11-16",1,159,1563.56,1.00073,0.896824,1563.56
"CEINS","2017-11-17",0.987421,159,1345.16,1.01097,0.896889,1328.24
"CEINS","2017-11-18",1,159,1226.45,1.00586,0.769717,1226.45
"CEINS","2017-11-19",0.918239,159,1237.03,1.07284,0.852059,1135.89
"CEINS","2017-11-20",0.45283,159,1418.28,0.82848,0.986475,642.24
"CEINS","2017-11-21",0.899371,159,1486.63,1.04018,0.964769,1337.03
"CEINS","2017-11-22",1,159,1580.69,1.01029,0.987431,1580.69
"CEINS","2017-11-23",1,159,1575.19,1.03308,0.976533,1575.19
"CEINS","2017-11-24",1,159,1243.44,1.14979,0.943978,1243.44
"CEINS","2017-11-25",0.90566,159,1174.7,1.20813,0.922201,1063.88
"CEINS","2017-11-26",0.899371,159,1270.76,1.19858,0.946924,1142.88
"CEINS","2017-11-27",0.937107,159,1562.45,0.997355,0.997508,1464.18
"CEINS","2017-11-28",1,159,1589.44,1.01552,0.964877,1589.44
"CEINS","2017-11-29",1,159,1582.54,1.01627,0.950205,1582.54
"CEINS","2017-11-30",1,159,1555.57,1.00807,0.891218,1555.57
"CEINS","2017-12-01",0.918239,159,1258.72,0.995786,0.905706,1155.8
"CEINS","2017-12-02",0.811321,159,1196.55,1.04085,0.926724,970.789
"CEINS","2017-12-03",0.672956,159,1385.8,0.856943,0.989633,932.58
"CEINS","2017-12-04",1,159,1627.9,1.03308,1.02668,1627.9
"CEINS","2017-12-05",1,159,1616.4,1.00073,0.984942,1616.4
"CEINS","2017-12-06",1,159,1674.56,1.00073,0.972849,1674.56
"CEINS","2017-12-07",1,159,1673.18,1.00512,1.00497,1673.18
"CEINS","2017-12-08",1,159,1295.52,1.07009,0.902198,1295.52
"CEINS","2017-12-09",0.761006,159,1196.91,1.0995,0.97401,910.858
"CEINS","2017-12-10",0.81761,159,1154.31,1.43108,0.917716,943.775
"CEINS","2017-12-11",0.918239,159,1462.39,1.29401,0.990857,1342.82
"CEINS","2017-12-12",0.949686,159,1432.16,1.08378,0.939301,1360.1
"CEINS","2017-12-13",1,159,1467.71,1.02308,0.960233,1467.71
"CEINS","2017-12-14",1,159,1484.47,1.04407,0.994146,1484.47
"CEINS","2017-12-15",1,159,1251.68,1.18041,1.03559,1251.68
"CEINS","2017-12-16",0.610063,159,1069.02,1.12665,0.987476,652.168
"CEINS","2017-12-17",0.352201,159,1118.65,0.939659,0.942204,393.992
"CEINS","2017-12-18",0.566038,159,1254.3,1.06539,0.946393,709.982
"CEINS","2017-12-19",0.603774,159,1260.81,1.07599,0.937184,761.245
"CEINS","2017-12-20",0.471698,159,1256.59,0.943396,0.927032,592.73
"CEINS","2017-12-21",0.408805,159,1211.82,0.965117,0.90784,495.397
"CEINS","2017-12-22",0.345912,159,1089.11,0.802843,0.981377,376.735
"CEINS","2017-12-23",0.308176,159,1104.26,0.831894,1.04888,340.306
"CEINS","2017-12-24",0.446541,159,1031.28,1.03291,0.999656,460.508
"CEINS","2017-12-25",0.18239,159,1134.19,0.692276,0.932545,206.864
"CEINS","2017-12-26",0.201258,159,1177.72,0.686174,0.999912,237.025
"CEINS","2017-12-27",0.232704,159,1138.91,0.698113,0.993756,265.028
"CEINS","2017-12-28",0.295597,159,1159.33,0.855055,0.96022,342.694
"CEINS","2017-12-29",0.371069,159,1004.03,0.958363,0.990098,372.565
"CEINS","2017-12-30",0.358491,159,967.762,0.868723,0.983148,346.933
"CEINS","2017-12-31",0.345912,159,963.308,0.740316,0.937892,333.22
