"plaza","hotel","valor"
"CESTL","NH Valle dorado",4.4
"CESTL","Maria Barbara",4.75
"CESTL","Real Inn Perinorte",4.5
"CETAM","Rio Vista Inn",3
"CETAM","Posada Tampico",3.8
"CETAM","Hampton Inn",4.4
"CETAM","Confort Inn",3
"CETAM","Fiesta Inn",4.15
"CETCN","Gran Hotel Mexico",3.15
"CETCN","Hotel Zenith",0
"CETGZ","Vista Inn",0
"CETGZ","Fiesta Inn",0
"CETII","Fiesta Inn",0.5
"CETII","Baja Inn",0.5
"CETII","Holiday Inn",0.65
"CETIR","Holiday Inn",4.1
"CETIR","Real del Rio",3.1
"CETIR","Real Inn",4.2
"CETIR","Marriot",4.35
"CETIR","Lucerna",4.05
"CETLC","Microtel",3.2
"CETLC","One",0
"CETLC","Fiesta Inn Aeropuerto",3.9
"CETLC","Gran Plaza Imperial",3.4
"CETLC","HIE Y Suites",3.85
"CETLC","Fiesta Inn",3.95
"CETLC","Crowne Plaza",0
"CETLC","Courtyard Marriot Aeropuerto",0
"CETPO","Fiesta Inn Perinorte",4.4
"CETPO","Fiesta Inn Cuatitlan",4.6
"CETPO","One Cuatitlan",3.9
"CETPO","Ibis",3.2
"CETRC","Real Inn",4.35
"CETRC","Sleep Inn",3.6
"CETRC","Fresno Galerias",3.4
"CETRC","Fiesta Inn Galerias",4.2
"CETRC","HAMPTON INN",3.9
"CETRC","HIE",4.2
"CETRC","BEST WESTERN",3.45
"CETXA","Best Western del Angel",3.55
"CETXA","Mision",3
"CETXP","Crowne Plaza",4.8
"CETXP","Holiday Inn",4.85
"CEVER","HIE",4.2
"CEVER","Hilton Garden Inn",4.25
"CEVER","Fiesta Inn Playa",4.3
"CEVER","F Star",0
"CEVER","Best Western",4.35
"CEVER","Castelo",4.25
"CEVER","NH Cristal",0
"CEVER","Indigo",4.55
"CEVER","Rivoli",0
"CEVSA","La Venta",3.65
"CEVSA","One Tabasco 2000",4.05
"CEVSA","One",3.65
"CEVSA","Best Western",3
"CEVSA","Fiesta Inn",4.4
"CEVSA","Holiday Inn",4.4
"CEZCL","Hacienda del Bosque",4.1
"CEZCL","Emporio",0
"CEZCL","Hampton Inn",4.85
"CEZCL","Fiesta Inn",4.85
"CEZCL","Don Miguel",3.7
"CEZCL","Mision",4.1
"CEZCL","Parador",3.45
"CEZLO","Camino Real",4.55
"CEZLO","HIE",4.35
"CJAGU","Ce Aguascalientes Sur",4.15
"CJAGU","Aranzazu",3.2
"CJAGU","One Sur",3.6
"CJAGU","One San Marcos",3.6
"CJCJS","Microtel",3.3
"CJCJS","Maria Bonita Y Suites",3.6
"CJCJS","La Quinta",3.4
"CJCJS","Ibis",2.7
"CJCJS","MesaLuna",3.45
"CJCME","One",3.65
"CJCME","Fiesta Inn",4.15
"CJCME","Holiday Inn Express",4
"CJCMI","Hampton Inn",3.95
"CJCMI","Extended Suites",3
"CJCMI","Fiesta Inn",4.2
"CJCMI","City Junior Cd Carmen",3.55
"CJCMI","One",3.5
"CJCUN","One",4.55
"CJCUN","Ibis",4.25
"CJCUN","Plaza kokai",3.5
"CJCUN","Xbalanque",3.4
"CJGPS","Tapatio",3.6
"CJGPS","POSADA VIRREYES",3.1
"CJGPS","One Guadalajara Tapatio",3.45
"CJGPS","City Express Aeropuerto",3.75
"CJGPS","Holiday Inn Express Aeropuerto",3.75
"CJGPS","Hampton Inn Aeropuerto",3.4
"CJMID","Mision Express",3.35
"CJMID","Ibis",3
"CJMXL","Siesta Real",2.4
"CJPAU","Plaza las Fuentes",2.8
"CJPAU","One",3.95
"CJSLP","CE San Luis Universidad",4.4
"CJSLP","Panorama",4.15
"CJSLP","San Francisco",3.65
"CJTCC","Microtel",4.55
"CJTCC","Hotel del Rey",4.65
"CJTCC","Best Western",3.9
"CJTCC","HIE Tollocan",4.6
"CJTGZ","City Express Tuxtla Gutierrez",4.55
"CJTGZ","Quality Inn",3.75
"CJTGZ","Vista Inn Premium",3.45
"CJTIO","La mesa inn",3.1
"CJTIO","fiesta inn otay",4.35
"CJTLC","City Express",3.75
"CJTLC","Microtel",3.6
"CJTLC","One",3.3
"CJVER","Yes Inn",4
"CJVSA","Real Inn",0
"CJVSA","One",3.6
"CJVSA","One Tabasco 2000",4.1
"CJVSA","Mision Express",3.75
"CJVSA","La Venta Inn",3.9
"CPMSJ","Courtyard by Marriott",4.2
"CPMSJ","Hampton Inn",4.15
"CPMSJ","Four Points Monterrey Galerias",4.1
"CPMSJ","Hilton Garden Inn Monterrey",4
"CPMSJ","Holiday Inn Express",3.85
"CPPST","HI Medica Sur",3.9
"CPPST","Fiesta Inn PS",4
"CPPST","One PS",3.05
"CPPST","Royal Pedregal",3.15
"CPPST","Radisson Paraiso",3.4
"CPSTM","Real Inn",4.3
"CPSTM","NH Valle Dorado",4.35
"CPSTM","Krystal Maria Barbara",4.5
"CPSTM","Fiesta Inn Naucalpan",4.25
"CPSTM","CPSTL",4.2
"CPSTM","Fiesta Inn Tlalnepantla",4.2
"CSANZ","Fiesta Americana Grand",4.45
"CSANZ","Camino Real",4.05
"CSANZ","Suites del Angel",0
"CSCSL","Quinta del Sol",4.25
"CSCSL","Ameyal",4
"CSCSL","Holiday Inn Express",4.65
"CSPAU","Holiday Inn Finsa",4.75
"CSPAU","Fiesta Inn Finsa",4.4
"CSPAU","Ce Puebla Autopista",4.05
"CSPAU","Staybridge",4.8
"CSPDC","Wyndham Garden",3.9
"CSPDC","CEPDC",4.05
"CSPDC","Anah Suites",0
"CSPDC","Fiesta Inn",4.45
"CSQRO","Fiesta Inn",4.4
"CSQRO","Casa Cayala",3.75
"CSQRO","Candlewood",4.05
"CSQRO","Four Points by Sheraton",4.15
"CSQRO","Holiday Inn Express",4
"CSQRO","Holiday Inn CH",4.3
"CSQRO","Staybridge",3.75
"CSQRO","NH",3.95
"CSQRO","Jurica",4.45
"CSQRO","Juriquilla",4.45
"CSQRO","Home 2 Suite",4
"CSQRO","Holiday Inn Kristal",4.4
"CSSFE","Stadia Suites",4.6
"CSSFE","Presidente Intercontinental",4.8
"CSSFE","Sheraton Suites",4.65
"CSSFE","Fiesta Americana",4.65
"CSSFE","Distrito Capital",4.6
"CSSIL","Hampton Inn",4.55
"CSSIL","Holiday Inn",4.55
"CSSIL","Hotsson",4.6
"CSSLP","La Quinta Inn",4.85
"CSSLP","Marriot Courtyard",4.85
"CSSLP","Maria Dolores",4.6
"CSSLP","Holiday Inn",4.85
"CSSLP","HIE",4.9
"CSSLP","Encore",4.75
"CSSLP","Fiesta Inn Oriente",4.8
"CSSLP","Fiesta Inn",4.85
"CSTIR","Holiday Inn",3.85
"CSTIR","Lucerna",4.3
"CSTIR","Real Inn",4.05
"CSTLC","HIE Y Suites",4.55
"CSTLC","Courtyard Marriot Aeropuerto",4.35
"CSTLC","Crowne Plaza",4.4
"CEAGU","CEAGU",4.1
"CEALM","CEALM",3.95
"CEANG","CEANG",4.5
"CEBNV","CEBNV",4.3
"CECEA","CECEA",3.6
"CECEG","CECEG",3.85
"CECEL","CECEL",4.2
"CECEN","CECEN",4.05
"CECJS","CECJS",3.7
"CECLO","CECLO",4.3
"CECMA","CECMA",4.25
"CECME","CECME",3.8
"CECNA","CECNA",3.9
"CECOA","CECOA",2.85
"CECPE","CECPE",0.8
"CECSL","CECSL",4.75
"CECTM","CECTM",3.85
"CECUL","CECUL",3.65
"CECUN","CECUN",3.5
"CECUU","CECUU",0
"CECVM","CECVM",3.85
"CEDGO","CEDGO",2.9
"CEEBC","CEEBC",4.5
"CEEGD","CEEGD",3.85
"CEGDA","CEGDA",4.45
"CEGDP","CEGDP",4.15
"CEHMO","CEHMO",3.7
"CEINS","CEINS",4.8
"CEIRA","CEIRA",4.55
"CEIRN","CEIRN",4.25
"CEJAL","CEJAL",3.8
"CELAP","CELAP",4.1
"CELEO","CELEO",4.3
"CELMM","CELMM",3.95
"CELRZ","CELRZ",3.95
"CELZC","CELZC",4.05
"CEMAT","CEMAT",0
"CEMID","CEMID",3.7
"CEMLM","CEMLM",3.4
"CEMTA","CEMTA",3.95
"CEMTN","CEMTN",3.85
"CEMTR","CEMTR",3.6
"CEMTT","CEMTT",4.1
"CEMTY","CEMTY",3.1
"CEMXL","CEMXL",3.7
"CEMZT","CEMZT",4.05
"CENLD","CENLD",3.25
"CENOG","CENOG",3.9
"CEOAX","CEOAX",3.85
"CEPAN","CEPAN",4.6
"CEPAT","CEPAT",4.25
"CEPAU","CEPAU",3.55
"CEPAZ","CEPAZ",3.45
"CEPDC","CEPDC",4
"CEPDS","CEPDS",3.5
"CEPUE","CEPUE",4.55
"CEPUN","CEPUN",4.35
"CEQRJ","CEQRJ",3.75
"CEQRO","CEQRO",4.25
"CEREA","CEREA",3.65
"CEREX","CEREX",4.25
"CEROS","CEROS",4.8
"CESAL","CESAL",3.85
"CESCL","CESCL",0
"CESCX","CESCX",4.5
"CESFE","CESFE",4.75
"CESIL","CESIL",4.4
"CESJO","CESJO",4.05
"CESLM","CESLM",4.6
"CESLP","CESLP",4
"CESLU","CESLU",4
"CESLW","CESLW",3.45
"CESTL","CESTL",4.65
"CETAM","CETAM",4.15
"CETCN","CETCN",4.55
"CETEP","CETEP",3.85
"CETGZ","CETGZ",0
"CETII","CETII",3.9
"CETIR","CETIR",3.8
"CETLC","CETLC",3.75
"CETPO","CETPO",3.9
"CETRC","CETRC",3.9
"CETUL","CETUL",4.9
"CETXA","CETXA",3
"CETXP","CETXP",4.8
"CEVER","CEVER",4
"CEVSA","CEVSA",4.4
"CEZCL","CEZCL",4.1
"CEZLO","CEZLO",4.1
"CEZMM","CEZMM",4
"CJAGU","CJAGU",3.8
"CJBOG","CJBOG",3.55
"CJCJS","CJCJS",3.1
"CJCME","CJCME",3.55
"CJCMI","CJCMI",3.5
"CJCUN","CJCUN",4.3
"CJCUU","CJCUU",0
"CJGPS","CJGPS",3.35
"CJMID","CJMID",2.95
"CJMXL","CJMXL",2.9
"CJPAU","CJPAU",4.05
"CJSLP","CJSLP",4.2
"CJTCC","CJTCC",4.15
