"id","hotel_id","hotel_clave","fecha","eventos"
40372,1,"CEINS","2016-11-23",0
40371,1,"CEINS","2016-11-22",0
40370,1,"CEINS","2016-11-21",-2
40369,1,"CEINS","2016-11-20",0
40368,1,"CEINS","2016-11-19",0
40367,1,"CEINS","2016-11-18",0
40366,1,"CEINS","2016-11-17",0
40365,1,"CEINS","2016-11-16",0
40364,1,"CEINS","2016-11-15",0
40363,1,"CEINS","2016-11-14",0
40362,1,"CEINS","2016-11-13",0
40361,1,"CEINS","2016-11-12",0
40360,1,"CEINS","2016-11-11",0
40359,1,"CEINS","2016-11-10",0
40358,1,"CEINS","2016-11-09",0
40357,1,"CEINS","2016-11-08",0
40356,1,"CEINS","2016-11-07",0
40355,1,"CEINS","2016-11-06",0
40354,1,"CEINS","2016-11-05",0
40353,1,"CEINS","2016-11-04",0
40352,1,"CEINS","2016-11-03",0
40351,1,"CEINS","2016-11-02",0
40350,1,"CEINS","2016-11-01",0
40349,1,"CEINS","2016-10-31",0
40348,1,"CEINS","2016-10-30",0
40347,1,"CEINS","2016-10-29",0
40346,1,"CEINS","2016-10-28",0
40345,1,"CEINS","2016-10-27",0
40344,1,"CEINS","2016-10-26",0
40343,1,"CEINS","2016-10-25",0
40342,1,"CEINS","2016-10-24",0
40341,1,"CEINS","2016-10-23",0
40340,1,"CEINS","2016-10-22",0
40339,1,"CEINS","2016-10-21",0
40338,1,"CEINS","2016-10-20",0
40337,1,"CEINS","2016-10-19",0
40336,1,"CEINS","2016-10-18",0
40335,1,"CEINS","2016-10-17",0
40334,1,"CEINS","2016-10-16",0
40333,1,"CEINS","2016-10-15",0
40332,1,"CEINS","2016-10-14",0
40331,1,"CEINS","2016-10-13",0
40330,1,"CEINS","2016-10-12",0
40329,1,"CEINS","2016-10-11",0
40328,1,"CEINS","2016-10-10",0
40327,1,"CEINS","2016-10-09",0
40326,1,"CEINS","2016-10-08",0
40325,1,"CEINS","2016-10-07",0
40324,1,"CEINS","2016-10-06",0
40323,1,"CEINS","2016-10-05",0
40322,1,"CEINS","2016-10-04",0
40321,1,"CEINS","2016-10-03",0
40320,1,"CEINS","2016-10-02",0
40319,1,"CEINS","2016-10-01",0
40318,1,"CEINS","2016-09-30",0
40317,1,"CEINS","2016-09-29",0
40316,1,"CEINS","2016-09-28",0
40315,1,"CEINS","2016-09-27",0
40314,1,"CEINS","2016-09-26",0
40313,1,"CEINS","2016-09-25",0
40312,1,"CEINS","2016-09-24",0
40311,1,"CEINS","2016-09-23",0
40310,1,"CEINS","2016-09-22",0
40309,1,"CEINS","2016-09-21",0
40308,1,"CEINS","2016-09-20",0
40307,1,"CEINS","2016-09-19",0
40306,1,"CEINS","2016-09-18",0
40305,1,"CEINS","2016-09-17",0
40304,1,"CEINS","2016-09-16",-2
40303,1,"CEINS","2016-09-15",-2
40302,1,"CEINS","2016-09-14",-2
40301,1,"CEINS","2016-09-13",-2
40300,1,"CEINS","2016-09-12",-2
40299,1,"CEINS","2016-09-11",0
40298,1,"CEINS","2016-09-10",0
40297,1,"CEINS","2016-09-09",0
40296,1,"CEINS","2016-09-08",0
40295,1,"CEINS","2016-09-07",0
40294,1,"CEINS","2016-09-06",0
40293,1,"CEINS","2016-09-05",0
40292,1,"CEINS","2016-09-04",0
40291,1,"CEINS","2016-09-03",0
40290,1,"CEINS","2016-09-02",0
40289,1,"CEINS","2016-09-01",0
40288,1,"CEINS","2016-08-31",0
40287,1,"CEINS","2016-08-30",0
40286,1,"CEINS","2016-08-29",0
40285,1,"CEINS","2016-08-28",0
40284,1,"CEINS","2016-08-27",1
40283,1,"CEINS","2016-08-26",0
40282,1,"CEINS","2016-08-25",0
40281,1,"CEINS","2016-08-24",0
40280,1,"CEINS","2016-08-23",0
40279,1,"CEINS","2016-08-22",0
40278,1,"CEINS","2016-08-21",0
40277,1,"CEINS","2016-08-20",0
40276,1,"CEINS","2016-08-19",0
40275,1,"CEINS","2016-08-18",0
40274,1,"CEINS","2016-08-17",0
40273,1,"CEINS","2016-08-16",0
40272,1,"CEINS","2016-08-15",0
40271,1,"CEINS","2016-08-14",0
40270,1,"CEINS","2016-08-13",0
40269,1,"CEINS","2016-08-12",0
40268,1,"CEINS","2016-08-11",0
40267,1,"CEINS","2016-08-10",0
40266,1,"CEINS","2016-08-09",0
40265,1,"CEINS","2016-08-08",0
40264,1,"CEINS","2016-08-07",0
40263,1,"CEINS","2016-08-06",0
40262,1,"CEINS","2016-08-05",0
40261,1,"CEINS","2016-08-04",0
40260,1,"CEINS","2016-08-03",0
40259,1,"CEINS","2016-08-02",0
40258,1,"CEINS","2016-08-01",0
40257,1,"CEINS","2016-07-31",0
40256,1,"CEINS","2016-07-30",0
40255,1,"CEINS","2016-07-29",0
40254,1,"CEINS","2016-07-28",0
40253,1,"CEINS","2016-07-27",0
40252,1,"CEINS","2016-07-26",0
40251,1,"CEINS","2016-07-25",0
40250,1,"CEINS","2016-07-24",0
40249,1,"CEINS","2016-07-23",0
40248,1,"CEINS","2016-07-22",0
40247,1,"CEINS","2016-07-21",0
40246,1,"CEINS","2016-07-20",0
40245,1,"CEINS","2016-07-19",0
40244,1,"CEINS","2016-07-18",0
40243,1,"CEINS","2016-07-17",0
40242,1,"CEINS","2016-07-16",0
40241,1,"CEINS","2016-07-15",0
40240,1,"CEINS","2016-07-14",0
40239,1,"CEINS","2016-07-13",0
40238,1,"CEINS","2016-07-12",0
40237,1,"CEINS","2016-07-11",0
40236,1,"CEINS","2016-07-10",0
40235,1,"CEINS","2016-07-09",0
40234,1,"CEINS","2016-07-08",0
40233,1,"CEINS","2016-07-07",0
40232,1,"CEINS","2016-07-06",0
40231,1,"CEINS","2016-07-05",0
40230,1,"CEINS","2016-07-04",0
40229,1,"CEINS","2016-07-03",0
40228,1,"CEINS","2016-07-02",0
40227,1,"CEINS","2016-07-01",0
40226,1,"CEINS","2016-06-30",0
40225,1,"CEINS","2016-06-29",0
40224,1,"CEINS","2016-06-28",0
40223,1,"CEINS","2016-06-27",0
40222,1,"CEINS","2016-06-26",0
40221,1,"CEINS","2016-06-25",0
40220,1,"CEINS","2016-06-24",0
40219,1,"CEINS","2016-06-23",0
40218,1,"CEINS","2016-06-22",0
40217,1,"CEINS","2016-06-21",0
40216,1,"CEINS","2016-06-20",0
40215,1,"CEINS","2016-06-19",0
40214,1,"CEINS","2016-06-18",0
40213,1,"CEINS","2016-06-17",0
40212,1,"CEINS","2016-06-16",0
40211,1,"CEINS","2016-06-15",0
40210,1,"CEINS","2016-06-14",0
40209,1,"CEINS","2016-06-13",0
40208,1,"CEINS","2016-06-12",0
40207,1,"CEINS","2016-06-11",0
40206,1,"CEINS","2016-06-10",0
40205,1,"CEINS","2016-06-09",0
40204,1,"CEINS","2016-06-08",0
40203,1,"CEINS","2016-06-07",0
40202,1,"CEINS","2016-06-06",0
40201,1,"CEINS","2016-06-05",0
40200,1,"CEINS","2016-06-04",0
40199,1,"CEINS","2016-06-03",0
40198,1,"CEINS","2016-06-02",0
